Object.ID,level,level2,level3,Names,Material,Materials,Object.Name,Link.Resource
502343,Aerophone,Lip Vibrated,horn,Ohotniche Rogi sounding A,Wood,Wood | metal | various materials,Ohotniche Rogi sounding A,http://www.metmuseum.org/art/collection/search/502343
502344,Aerophone,Lip Vibrated,horn,Ohotniche Rogi sounding E,Wood,Wood | metal | various materials,Ohotniche Rogi sounding E,http://www.metmuseum.org/art/collection/search/502344
502347,Aerophone,Reed Vibrated,bagpipe,Musette,boxwood,boxwood | ivory | brass | leather | silk,Musette,http://www.metmuseum.org/art/collection/search/502347
502641,Aerophone,Lip Vibrated,trumpet / trombone,Alto Slide Trombone,Wood,Wood | metal | various materials,Alto Slide Trombone,http://www.metmuseum.org/art/collection/search/502641
502652,Aerophone,Free Reed,mouth organ,Symphonium,nickel silver,nickel silver | ivory | brass | mother-of-pearl,Symphonium,http://www.metmuseum.org/art/collection/search/502652
502678,Aerophone,Free Reed,harmonium,Apollo Lyre,Wood,Wood | metal | various materials,Apollo Lyre,http://www.metmuseum.org/art/collection/search/502678
502718,Aerophone,Lip Vibrated,horn,Trompe à la Dampierre,Wood,Wood | metal | various materials,Trompe à la Dampierre,http://www.metmuseum.org/art/collection/search/502718
502742,Aerophone,Whistle Flute,whistle,Double Pottery Whistle,Wood,Wood | metal | various materials,Double Pottery Whistle,http://www.metmuseum.org/art/collection/search/502742
503033,Aerophone,Blow Hole,side-blown flute (transverse),Ryuteki,Wood,Wood | metal | various materials,Ryuteki,http://www.metmuseum.org/art/collection/search/503033
503034,Aerophone,Blow Hole,side-blown flute (transverse),Komabue,Wood,Wood | metal | various materials,Komabue,http://www.metmuseum.org/art/collection/search/503034
503036,Aerophone,Reed Vibrated,double reed,Hitoyogiri,Wood,Wood | lacquer | gilt,Hitoyogiri,http://www.metmuseum.org/art/collection/search/503036
503157,Aerophone,Whistle Flute,vessel flute,Ocarina,Wood,Wood | metal | various materials,Ocarina,http://www.metmuseum.org/art/collection/search/503157
503192,Aerophone,Blow Hole,end-blown flute (vertical),Quena (Kena),Wood,Wood | metal | various materials,Quena (Kena),http://www.metmuseum.org/art/collection/search/503192
503232,Aerophone,Lip Vibrated,horn,Rotary Valve Cornet,Wood,Wood | metal | various materials,Rotary Valve Cornet,http://www.metmuseum.org/art/collection/search/503232
503238,Aerophone,Blow Hole,vessel flute,Ocarina,Wood,Wood | metal | various materials,Ocarina,http://www.metmuseum.org/art/collection/search/503238
503348,Aerophone,Lip Vibrated,trumpet / trombone,Dung-Chen,Brass,Brass | copper | cloisonné,Dung-Chen,http://www.metmuseum.org/art/collection/search/503348
503358,Aerophone,Lip Vibrated,trumpet / trombone,Dung Chen,Wood,Wood | metal | various materials,Dung Chen,http://www.metmuseum.org/art/collection/search/503358
503418,Aerophone,Blow Hole,side-blown flute (transverse),Piccolo,Ivory,Ivory | brass | silver,Piccolo,http://www.metmuseum.org/art/collection/search/503418
503466,Aerophone,Reed Vibrated,double reed,Grand oboe,Boxwood,Boxwood | brass,Grand oboe,http://www.metmuseum.org/art/collection/search/503466
503467,Aerophone,Blow Hole,side-blown flute (transverse),Pair of Transverse Flutes,Ivory,Ivory | silver | wood,Pair of Transverse Flutes,http://www.metmuseum.org/art/collection/search/503467
503512,Aerophone,Reed Vibrated,double reed,English Horn,Nickel-silver,Nickel-silver | boxwood,English Horn,http://www.metmuseum.org/art/collection/search/503512
